epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,14.0606,0.33261,0.99355,1,0.03329,0.000548633,0.000548633,0.000548633
2,20.4155,0.15193,0.99355,1,0.01591,0.00108243,0.00108243,0.00108243
3,25.8655,0.12795,0.99355,1,0.02239,0.00159423,0.00159423,0.00159423
4,31.7525,0.11689,1,1,0.00022,0.00156798,0.00156798,0.00156798
5,37.3594,0.10317,1,1,0.00024,0.00153497,0.00153497,0.00153497
6,42.8707,0.09138,1,1,0.00121,0.00150197,0.00150197,0.00150197
7,48.1549,0.0884,1,1,0.00301,0.00146896,0.00146896,0.00146896
8,53.5568,0.10133,1,1,0.00115,0.00143595,0.00143595,0.00143595
9,58.8544,0.07971,1,1,0.00063,0.00140295,0.00140295,0.00140295
10,64.201,0.10233,1,1,0.00204,0.00136994,0.00136994,0.00136994
11,69.9213,0.08679,1,1,0.00143,0.00133693,0.00133693,0.00133693
12,75.3418,0.05899,1,1,0.00029,0.00130393,0.00130393,0.00130393
13,80.6376,0.08122,1,1,0.00252,0.00127092,0.00127092,0.00127092
14,86.1641,0.06075,1,1,0.00071,0.00123791,0.00123791,0.00123791
15,91.5165,0.05632,1,1,0.00052,0.00120491,0.00120491,0.00120491
16,97.2086,0.05556,1,1,0.00111,0.0011719,0.0011719,0.0011719
17,102.548,0.06285,1,1,0.00785,0.00113889,0.00113889,0.00113889
18,107.902,0.18874,1,1,0.00549,0.00110589,0.00110589,0.00110589
19,113.359,0.05746,1,1,0.00042,0.00107288,0.00107288,0.00107288
20,118.886,0.05036,1,1,0.00113,0.00103987,0.00103987,0.00103987
21,125.057,0.07785,1,1,0.00967,0.00100687,0.00100687,0.00100687
22,132.175,0.05296,1,1,0.00556,0.000973861,0.000973861,0.000973861
23,139.34,0.05744,1,1,0.00074,0.000940855,0.000940855,0.000940855
24,145.908,0.07579,1,1,0.00511,0.000907848,0.000907848,0.000907848
25,152.522,0.03567,1,1,0.00227,0.000874842,0.000874842,0.000874842
26,160.274,0.05593,1,1,0.00111,0.000841835,0.000841835,0.000841835
27,166.728,0.0391,1,1,0.00021,0.000808828,0.000808828,0.000808828
28,172.821,0.0445,1,1,0.0007,0.000775822,0.000775822,0.000775822
29,179.246,0.04289,1,1,0.00213,0.000742815,0.000742815,0.000742815
30,186.454,0.04914,1,1,0.00315,0.000709809,0.000709809,0.000709809
31,193.181,0.03678,1,1,0.00043,0.000676802,0.000676802,0.000676802
32,199.277,0.04403,1,1,0.00072,0.000643795,0.000643795,0.000643795
33,205.734,0.03643,1,1,0.00163,0.000610789,0.000610789,0.000610789
34,211.946,0.02919,1,1,0.00081,0.000577782,0.000577782,0.000577782
35,218.314,0.04036,1,1,0.00075,0.000544776,0.000544776,0.000544776
36,225.644,0.04893,1,1,0.00185,0.000511769,0.000511769,0.000511769
37,232.274,0.05502,1,1,0.001,0.000478762,0.000478762,0.000478762
38,239.14,0.04298,1,1,0.00084,0.000445756,0.000445756,0.000445756
39,246.213,0.03273,1,1,0.00204,0.000412749,0.000412749,0.000412749
40,253.038,0.03771,1,1,0.00821,0.000379743,0.000379743,0.000379743
41,344.511,0.03681,1,1,0.00673,0.000346736,0.000346736,0.000346736
42,352.843,0.04077,1,1,0.00171,0.000313729,0.000313729,0.000313729
43,359.742,0.0315,1,1,0.00272,0.000280723,0.000280723,0.000280723
44,366.048,0.03717,1,1,0.00199,0.000247716,0.000247716,0.000247716
45,372.25,0.03508,1,1,0.0028,0.00021471,0.00021471,0.00021471
46,378.571,0.03264,1,1,0.00294,0.000181703,0.000181703,0.000181703
47,384.677,0.03482,1,1,0.00203,0.000148696,0.000148696,0.000148696
48,390.999,0.03085,1,1,0.00256,0.00011569,0.00011569,0.00011569
49,397.109,0.02852,1,1,0.00243,8.26832e-05,8.26832e-05,8.26832e-05
50,403.221,0.02824,1,1,0.00312,4.96766e-05,4.96766e-05,4.96766e-05
